ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
7,2019,1,13,1,Larva,Nada,1,0,Z,T
7,2019,1,13,2,Rush,Horang2,0,1,t,p
7,2019,1,13,3,Larva,Horang2,1,0,z,p
7,2019,1,13,4,Nada,Rush,1,0,t,t
7,2019,1,13,5,Horang2,Nada,1,0,p,t
7,2019,1,15,1,Snow,Tinkle,1,0,p,t
7,2019,1,15,2,Action,Piano,1,0,z,t
7,2019,1,15,3,Snow,Action,1,0,p,z
7,2019,1,15,4,Tinkle,Piano,0,1,t,t
7,2019,1,15,5,Action,Piano,0,1,z,t
7,2019,1,20,1,Best,Zelot,1,0,p,z
7,2019,1,20,2,Mong,Sacsri,0,1,t,z
7,2019,1,20,3,Best,Sacsri,1,0,p,z
7,2019,1,20,4,Mong,Zelot,1,0,t,z
7,2019,1,20,5,Sacsri,Mong,1,0,z,t
7,2019,1,22,1,Mind,Modesty,1,0,t,z
7,2019,1,22,2,Light,ggaemo,0,1,t,z
7,2019,1,22,3,Mind,ggaemo,1,0,t,z
7,2019,1,22,4,Modesty,Light,1,0,z,t
7,2019,1,22,5,ggaemo,Modesty,0,1,z,z
7,2019,1,27,1,Rain,Jyj,1,0,p,t
7,2019,1,27,2,Miso,Calm,0,1,z,z
7,2019,1,27,3,Rain,Calm,1,0,p,z
7,2019,1,27,4,Jyj,Miso,0,1,t,z
7,2019,1,27,5,Calm,Miso,1,0,z,z
7,2019,1,29,1,Soulkey,Tyson,1,0,z,p
7,2019,1,29,2,Guemchi,Byul,1,0,p,t
7,2019,1,29,3,Soulkey,Guemchi,1,0,z,p
7,2019,1,29,4,Tyson,Byul,1,0,p,t
7,2019,1,29,5,Guemchi,Tyson,1,0,p,p
7,2019,2,10,1,Effort,Guemchi,1,0,z,p
7,2019,2,10,2,Horang2,Piano,1,0,p,t
7,2019,2,10,3,Effort,Horang2,1,0,z,p
7,2019,2,10,4,Guemchi,Piano,1,0,p,t
7,2019,2,10,5,Horang2,Guemchi,1,0,p,p
7,2019,2,12,1,Last,Calm,0,1,t,z
7,2019,2,12,2,Soulkey,Snow,0,1,z,p
7,2019,2,12,3,Calm,Snow,1,0,z,p
7,2019,2,12,4,Last,Soulkey,1,0,t,z
7,2019,2,12,5,Snow,Last,0,1,p,t
7,2019,2,17,1,Sharp,Mind,1,0,t,t
7,2019,2,17,2,Modesty,Best,0,1,z,p
7,2019,2,17,3,Sharp,Best,1,0,t,p
7,2019,2,17,4,Mind,Modesty,1,0,t,z
7,2019,2,17,5,Best,Mind,0,1,p,t
7,2019,2,19,1,Mini,Larva,0,1,p,z
7,2019,2,19,2,Sacsri,Rain,0,1,z,p
7,2019,2,19,3,Larva,Rain,0,1,z,p
7,2019,2,19,4,Mini,Sacsri,1,0,p,z
7,2019,2,19,5,Larva,Mini,0,1,z,p
7,2019,2,23,1,Calm,Mini,1,3,z,p
7,2019,2,24,1,Effort,Mind,3,1,z,t
7,2019,2,26,1,Sharp,Last,2,3,t,t
7,2019,2,27,1,Rain,Horang2,3,0,p,p
7,2019,3,3,1,Mini,Effort,3,2,p,z
7,2019,3,5,1,Last,Rain,3,2,t,p
7,2019,3,10,1,Effort,Rain,3,0,z,p
7,2019,3,17,1,Mini,Last,1,3,p,t